iter	Logloss
0	0.6889022311
1	0.6859945273
2	0.6830758567
3	0.680496816
4	0.6780805064
5	0.67556855
6	0.6735131463
7	0.6719060293
8	0.6706402689
9	0.6694405133
10	0.668364383
11	0.6673294367
12	0.6664704919
13	0.6655226319
14	0.6645920689
15	0.6635439035
16	0.6628757703
17	0.6620437775
18	0.661172019
19	0.6605962209
20	0.6599928618
21	0.6594778051
22	0.6588215829
23	0.6582775447
24	0.6577583843
25	0.6572718221
26	0.6566491007
27	0.6562369015
28	0.6557699848
29	0.6553127783
30	0.6549548919
31	0.6544165931
32	0.6538418633
33	0.6533917218
34	0.6530895614
35	0.6527412171
36	0.6524000431
37	0.6519915397
38	0.6515839518
39	0.6509995643
40	0.6507297553
41	0.650388823
42	0.650067953
43	0.6497158391
44	0.6494803486
45	0.6490961255
46	0.6488369248
47	0.6484904174
48	0.6481781548
49	0.6478545767
50	0.6475905524
51	0.6472946571
52	0.647053563
53	0.6467384269
54	0.6465421751
55	0.6462916317
56	0.6460016484
57	0.6458197945
58	0.6455657995
59	0.6452714702
60	0.6450633058
61	0.6447998373
62	0.6445277972
63	0.6443379466
64	0.6440397112
65	0.6438391573
66	0.6436374926
67	0.6433414961
68	0.6431682294
69	0.6430085618
70	0.6427786314
71	0.6426077905
72	0.6424051526
73	0.6421971618
74	0.642016624
75	0.6418517304
76	0.6416399621
77	0.641443943
78	0.6412408725
79	0.6410232435
80	0.6408530375
81	0.6406429144
82	0.6403669187
83	0.6400074266
84	0.6398796664
85	0.6396750502
86	0.639611821
87	0.6394947347
88	0.6393217254
89	0.6390789026
90	0.6389250295
91	0.6387425275
92	0.6385108261
93	0.6382947857
94	0.6381433733
95	0.6378860531
96	0.6376995152
97	0.6375113837
98	0.6373464246
99	0.637204957
100	0.6370087721
101	0.6368319869
102	0.6366904953
103	0.6365017039
104	0.6363787982
105	0.6361789846
106	0.6359707065
107	0.6357038971
108	0.6354822928
109	0.6352984937
110	0.6350335132
111	0.6346986788
112	0.6345041213
113	0.634285513
114	0.6340713752
115	0.6338287405
116	0.6336402215
117	0.6333818453
118	0.6331825446
119	0.6329169784
120	0.6327442939
121	0.6325564855
122	0.632369701
123	0.6321590357
124	0.6319010279
125	0.6317240418
126	0.631537288
127	0.631349537
128	0.6311782569
129	0.6310249994
130	0.6307757896
131	0.6306043391
132	0.630371167
133	0.6301035643
134	0.6298979317
135	0.6296962459
136	0.6295422285
137	0.6293437938
138	0.6291747547
139	0.6289865149
140	0.6287974341
141	0.6285967959
142	0.6284210447
143	0.6282068167
144	0.6280165314
145	0.6278330837
146	0.6276643799
147	0.6274426529
148	0.6272502833
149	0.6270762596
150	0.6268559872
151	0.6267269877
152	0.6264993246
153	0.626276814
154	0.6261231077
155	0.6259190954
156	0.6257318393
157	0.6256061978
158	0.625390993
159	0.6252090248
160	0.6250009123
161	0.6247741994
162	0.624655539
163	0.6244442164
164	0.6242954218
165	0.6241001663
166	0.6238958278
167	0.6237357442
168	0.6234754875
169	0.6233185668
170	0.6231298284
171	0.6229061781
172	0.6227067781
173	0.6225476522
174	0.6223660977
175	0.6221877559
176	0.6219098964
177	0.6217586748
178	0.6215339249
179	0.6213465922
180	0.621207601
181	0.6210760908
182	0.620943891
183	0.6206661696
184	0.6204014702
185	0.6202249339
186	0.6200772909
187	0.6199467189
188	0.6197720597
189	0.6196880661
190	0.6195344451
191	0.6193500762
192	0.6191545221
193	0.6190056546
194	0.6188472149
195	0.6186119185
196	0.6184308199
197	0.6182464855
198	0.6180883801
199	0.6179250925
